epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,21278.4,0.55224,0.47606,0.85927,0.76483,0.69376,0.71974,0.54249,0.39349,0.30974,0.7136,0.00941366,0.00941366,0.00941366
73,21572.1,0.54997,0.47224,0.85705,0.76412,0.69231,0.72214,0.54502,0.39117,0.30741,0.71162,0.0094054,0.0094054,0.0094054
74,21866.1,0.54744,0.46863,0.8542,0.76843,0.69318,0.72558,0.54744,0.38894,0.30519,0.70967,0.00939714,0.00939714,0.00939714
75,22160.3,0.54306,0.46714,0.85272,0.76706,0.69684,0.72723,0.54971,0.38676,0.30303,0.70779,0.00938888,0.00938888,0.00938888
76,22453.9,0.54216,0.46211,0.85003,0.77008,0.69704,0.72933,0.55219,0.38467,0.30091,0.70601,0.00938063,0.00938063,0.00938063
77,22748.3,0.53909,0.46031,0.84717,0.77093,0.69864,0.73177,0.55429,0.38266,0.29899,0.70426,0.00937237,0.00937237,0.00937237
78,23042.5,0.53844,0.45889,0.84649,0.76914,0.70293,0.73349,0.55638,0.38074,0.29706,0.70258,0.00936411,0.00936411,0.00936411
79,23337.1,0.53558,0.45738,0.84451,0.77293,0.70428,0.73643,0.55882,0.37879,0.29522,0.70093,0.00935585,0.00935585,0.00935585
80,23631.4,0.53139,0.45202,0.8399,0.7743,0.70582,0.7381,0.56056,0.37691,0.29337,0.6993,0.00934759,0.00934759,0.00934759
81,23925.6,0.53103,0.45095,0.83935,0.77722,0.70745,0.7398,0.5622,0.37515,0.29157,0.69774,0.00933933,0.00933933,0.00933933
82,24219.9,0.52737,0.44736,0.83812,0.77905,0.70968,0.74145,0.56386,0.37346,0.28996,0.69627,0.00933107,0.00933107,0.00933107
83,24513.9,0.52617,0.44562,0.83546,0.78207,0.71021,0.74382,0.56603,0.37184,0.28843,0.69484,0.00932282,0.00932282,0.00932282
84,24808,0.52349,0.4438,0.83374,0.78451,0.70884,0.74523,0.56741,0.37025,0.28694,0.69347,0.00931456,0.00931456,0.00931456
85,25101.6,0.52261,0.44247,0.83244,0.78754,0.70852,0.74672,0.56914,0.36867,0.28546,0.69214,0.0093063,0.0093063,0.0093063
86,25395.6,0.51741,0.43726,0.829,0.78955,0.70899,0.74863,0.57114,0.36714,0.28402,0.69084,0.00929804,0.00929804,0.00929804
87,25689.5,0.51622,0.43547,0.82744,0.79052,0.70944,0.75024,0.57315,0.36567,0.28264,0.68958,0.00928978,0.00928978,0.00928978
88,25983.6,0.51503,0.43394,0.82711,0.79074,0.71042,0.75255,0.57494,0.36417,0.28127,0.68833,0.00928153,0.00928153,0.00928153
89,26277.6,0.51113,0.43246,0.8242,0.79346,0.71066,0.7537,0.57643,0.36268,0.27987,0.68707,0.00927327,0.00927327,0.00927327
90,26571.7,0.51116,0.42811,0.82211,0.79375,0.71409,0.75541,0.57803,0.36129,0.27855,0.68586,0.00926501,0.00926501,0.00926501
91,26866.1,0.50932,0.4285,0.82248,0.79105,0.7171,0.75667,0.57963,0.35991,0.27725,0.68467,0.00925675,0.00925675,0.00925675
92,27160.5,0.5083,0.42879,0.82083,0.79362,0.7174,0.75826,0.58145,0.35851,0.27601,0.68348,0.00924849,0.00924849,0.00924849
93,27454.7,0.50482,0.42213,0.81668,0.80072,0.71492,0.7596,0.58282,0.3572,0.27486,0.68235,0.00924023,0.00924023,0.00924023
94,27749.1,0.50518,0.42289,0.81745,0.80536,0.71339,0.76082,0.58445,0.35589,0.27372,0.68124,0.00923197,0.00923197,0.00923197
95,28043.8,0.50275,0.41969,0.81497,0.80622,0.71586,0.76215,0.58595,0.35458,0.2725,0.68012,0.00922372,0.00922372,0.00922372
